year,name,value,lastValue,rank
2010,neo mellow,83,83,1
2010,detroit hip hop,82,82,2
2010,canadian pop,77,77,3
2010,pop,72,72,4
2010,dance pop,65,65,5
2010,barbadian pop,65,65,6
2010,hip pop,65,65,7
2010,indie pop,65,65,8
2010,australian pop,62,62,9
2010,art pop,58,58,10
2010,atl hip hop,57,57,11
2010,colombian pop,56,56,12
2010,big room,0,0,13
2011,british soul,78,78,1
2011,pop,75,72,2
2011,canadian pop,74,77,3
2011,chicago rap,73,73,4
2011,australian pop,72,62,5
2011,barbadian pop,60,65,6
2011,dance pop,59,65,7
2011,atl hip hop,49,57,8
2011,acoustic pop,46,46,9
2012,permanent wave,79,79,1
2012,british soul,76,78,2
2012,boy band,75,75,3
2012,canadian pop,73,77,4
2012,pop,70,72,5
2012,australian pop,69,62,6
2012,baroque pop,67,67,7
2012,dance pop,64,65,8
2012,barbadian pop,62,65,9
2013,big room,81,0,1
2013,celtic rock,80,80,2
2013,complextro,75,75,3
2013,electro,74,74,4
2013,art pop,74,58,5
2013,indie pop,74,65,6
2013,canadian hip hop,73,73,7
2013,acoustic pop,71,46,8
2013,pop,70,72,9
2013,candy pop,67,67,10
2013,boy band,66,75,11
2013,dance pop,62,65,12
2013,canadian pop,61,77,13
2013,hip pop,59,65,14
2013,permanent wave,55,79,15
2013,barbadian pop,42,65,16
2013,alaska indie,36,36,17
2013,atl hip hop,28,57,18
2014,big room,78,0,1
2014,folk-pop,77,77,2
2014,pop,75,72,3
2014,art pop,73,58,4
2014,metropopolis,73,73,5
2014,house,72,72,6
2014,boy band,71,75,7
2014,australian hip hop,70,70,8
2014,electropop,65,65,9
2014,complextro,64,75,10
2014,permanent wave,60,79,11
2014,dance pop,59,65,12
2014,neo mellow,59,83,13
2014,australian dance,56,56,14
2014,colombian pop,56,56,15
2014,candy pop,50,67,16
2014,hollywood,37,37,17
2014,hip pop,30,65,18
2015,irish singer-songwriter,81,81,1
2015,canadian contemporary r&b,77,77,2
2015,pop,73,72,3
2015,tropical house,73,73,4
2015,british soul,71,78,5
2015,canadian pop,71,77,6
2015,barbadian pop,70,65,7
2015,complextro,68,75,8
2015,australian dance,67,56,9
2015,dance pop,61,65,10
2015,australian pop,61,62,11
2015,belgian edm,61,61,12
2015,boy band,61,75,13
2015,big room,60,0,14
2015,french indie pop,58,58,15
2015,hip hop,56,56,16
2015,hip pop,49,65,17
2015,art pop,47,58,18
2016,big room,81,0,1
2016,danish pop,80,80,2
2016,barbadian pop,79,65,3
2016,hip hop,78,56,4
2016,canadian contemporary r&b,77,77,5
2016,electropop,75,65,6
2016,canadian hip hop,74,73,7
2016,tropical house,69,73,8
2016,canadian pop,66,77,9
2016,pop,66,72,10
2016,dance pop,64,65,11
2016,australian dance,64,56,12
2016,art pop,57,58,13
2016,complextro,51,75,14
2016,neo mellow,49,83,15
2016,british soul,47,78,16
2016,folk-pop,36,77,17
2016,latin,29,29,18
2016,canadian latin,18,18,19
2017,electronic trap,82,82,1
2017,electropop,80,65,2
2017,canadian contemporary r&b,79,77,3
2017,canadian pop,78,77,4
2017,pop,76,72,5
2017,latin,76,29,6
2017,edm,75,75,7
2017,complextro,73,75,8
2017,boy band,71,75,9
2017,electro house,70,70,10
2017,dance pop,66,65,11
2017,big room,65,0,12
2017,art pop,64,58,13
2017,australian dance,60,56,14
2017,british soul,60,78,15
2017,belgian edm,59,61,16
2017,downtempo,59,59,17
2017,permanent wave,41,79,18
2018,barbadian pop,82,65,1
2018,brostep,82,82,2
2018,canadian pop,78,77,3
2018,edm,76,75,4
2018,contemporary country,76,76,5
2018,electropop,76,65,6
2018,hip hop,73,56,7
2018,dance pop,72,65,8
2018,pop,69,72,9
2018,latin,68,29,10
2018,detroit hip hop,65,82,11
2018,downtempo,64,59,12
2018,moroccan pop,53,53,13
2019,canadian pop,95,77,1
2019,brostep,90,82,2
2019,escape room,90,90,3
2019,edm,88,75,4
2019,pop,87,72,5
2019,boy band,86,75,6
2019,alternative r&b,84,84,7
2019,big room,82,0,8
2019,electropop,80,65,9
2019,dance pop,80,65,10
2019,electronic trap,77,82,11
2019,latin,76,29,12
